ubigeo,departamento,distrito,promedio_semanal,mediana_semanal,maximo_semanal,desviacion_semanal,pct_semanas_alta,crecimiento_promedio,frecuencia_semanas_con_casos,semana_pico,cluster,pca_1,pca_2
140307,LAMBAYEQUE,MOTUPE,3.3496391339214115,0.0,178,13.389410330993533,0.20850040096230954,0.14323561990779848,0.3199679230152366,15.0,0,0.657297301192922,-0.09936029180584101
140308,LAMBAYEQUE,OLMOS,2.4503205128205128,0.0,65,7.034195315985006,0.2203525641025641,0.14429025873637916,0.3245192307692308,15.0,1,0.09857737983998532,0.3249865909645926
140309,LAMBAYEQUE,PACORA,0.43612693246541906,0.0,43,2.8347827891237514,0.07811228641171684,0.03429563090420257,0.07892595606183889,20.0,1,-0.8588337524742864,-0.22284982437362966
140310,LAMBAYEQUE,SALAS,0.4896949711459192,0.0,54,3.1069320132812623,0.09068425391591096,0.03947011207222739,0.09150865622423743,13.0,1,-0.7907053185157391,-0.21625117409071984
140311,LAMBAYEQUE,SAN JOSE,0.3587662337662338,0.0,19,2.0023171083762445,0.04788961038961039,0.016376198525864156,0.04788961038961039,24.0,1,-1.018179119211446,-0.24271963028205124
140312,LAMBAYEQUE,TUCUME,0.5482374768089053,0.0,35,2.8078526995187527,0.07328385899814471,0.0158271651953329,0.07421150278293136,10.0,1,-0.8756071963916303,-0.22118822909813496
150101,LIMA,LIMA,4.98014888337469,0.0,173,21.055512188646016,0.22084367245657568,0.08917779541492668,0.22084367245657568,16.0,0,0.8591445256371902,-0.6002188955799922
150102,LIMA,ANCON,6.274390243902439,0.0,86,15.320290315783991,0.32926829268292684,0.12244988866625921,0.3353658536585366,19.0,0,0.8787405714227847,0.04442113000653712
150103,LIMA,ATE,6.171039844509233,0.0,524,42.92731100493087,0.1185617103984451,0.03453617511650442,0.119533527696793,18.0,0,2.28249768185529,-2.2034006623815388
150104,LIMA,BARRANCO,1.7586206896551724,0.0,15,3.3749091677564333,0.0,0.1277847396268449,0.39655172413793105,15.0,1,-0.05602014193897095,0.7471725681382189
150105,LIMA,BRE�A,2.530201342281879,0.0,34,6.918079656520149,0.2483221476510067,0.06900313622740094,0.2550335570469799,19.0,1,-0.12062913816068101,0.185103717915676
150106,LIMA,CARABAYLLO,8.08411214953271,0.0,664,51.56455779785931,0.1256490134994808,0.03972717268964882,0.12668743509865005,18.0,0,3.1202316943763866,-2.7233012707322715
150107,LIMA,CHACLACAYO,11.111731843575418,0.0,131,27.32974369248287,0.4022346368715084,0.13242361242745407,0.40782122905027934,19.0,0,2.0853956042467856,-0.21210247783516903
150108,LIMA,CHORRILLOS,0.9535573122529645,0.0,102,7.1557225222813985,0.06521739130434782,0.02640671134275261,0.06620553359683795,16.0,1,-0.5528022559288582,-0.5007040929908169
150109,LIMA,CIENEGUILLA,3.9190751445086707,0.0,69,11.341485322392861,0.3063583815028902,0.0849549587177619,0.31213872832369943,19.0,0,0.38763058181806287,0.14887048765846497
150110,LIMA,COMAS,14.165703275529864,0.0,1069,84.63963903622052,0.2302504816955684,0.10086404046768843,0.23121387283236994,16.0,2,6.044818233218734,-4.185729218572075
150111,LIMA,EL AGUSTINO,2.0843253968253967,0.0,271,17.608446080061533,0.05257936507936508,0.014016637405198366,0.05357142857142857,16.0,1,0.274612117721482,-1.1724079180721243
150112,LIMA,INDEPENDENCIA,7.733619763694952,0.0,642,50.85441761834637,0.14822771213748656,0.054055271977386285,0.14822771213748656,16.0,0,3.052707570756104,-2.5891492443702524
150113,LIMA,JESUS MARIA,6.041095890410959,1.0,37,9.676179417212804,0.0,0.14649521444901836,0.5205479452054794,14.0,0,1.4405361962267653,1.685535687873909
150114,LIMA,LA MOLINA,3.6638655462184873,0.0,72,11.183554335655584,0.3067226890756303,0.12351921755785106,0.31092436974789917,18.0,0,0.35715555011504313,0.1470960596232985
150115,LIMA,LA VICTORIA,1.75,0.0,57,7.529456044983152,0.140625,0.03340493000392163,0.14322916666666666,18.0,1,-0.3842254127907053,-0.198574593042564
150116,LIMA,LINCE,1.8488372093023255,0.0,29,5.040573615060891,0.23255813953488372,0.06134330858531065,0.23837209302325582,15.0,1,-0.30743724889682594,0.20374018955943546
150117,LIMA,LOS OLIVOS,3.1029126213592235,0.0,272,21.24231651525117,0.10388349514563107,0.041903438665731124,0.10485436893203884,16.0,0,0.6224563471404477,-1.1283181817465042
150118,LIMA,LURIGANCHO,5.305019305019305,0.0,328,30.143184908502928,0.15057915057915058,0.04695433029225463,0.15154440154440155,19.0,0,1.3924179553027662,-1.3639200215624758
150119,LIMA,LURIN,4.5843373493975905,0.0,93,15.028150147308576,0.25301204819277107,0.08764963667961276,0.25903614457831325,16.0,0,0.5206566459461635,-0.1620862769628936
150120,LIMA,MAGDALENA DEL MAR,1.1,0.0,22,3.361625546635061,0.18421052631578946,0.053252126010214756,0.18947368421052632,16.0,1,-0.5713075682123175,0.1268182330144941
150121,LIMA,PUEBLO LIBRE,1.3505434782608696,0.0,53,6.037424023129911,0.10054347826086957,0.03242137415199502,0.10326086956521739,18.0,1,-0.5747228182977222,-0.26574197464655597
150122,LIMA,MIRAFLORES,2.7972972972972974,1.0,25,5.190895693500641,0.0,0.24488318698845019,0.5135135135135135,11.0,0,0.8767285081565017,1.8551115783187255
150123,LIMA,PACHACAMAC,12.654411764705882,0.0,174,33.558197621373466,0.3088235294117647,0.14896983355709376,0.4411764705882353,16.0,0,2.63480938119521,-0.383034728462962
150124,LIMA,PUCUSANA,2.2091152815013406,0.0,92,11.017374653586382,0.08847184986595175,0.04117389261170351,0.09115281501340483,11.0,1,-0.2535708418422394,-0.5213948348342112
150125,LIMA,PUENTE PIEDRA,8.998769987699877,0.0,543,49.87853633749648,0.17466174661746617,0.06428661980724111,0.17589175891758918,16.0,0,2.999315311305585,-2.2944641506399797
150126,LIMA,PUNTA HERMOSA,0.18181818181818182,0.0,2,0.43026034786179024,0.0,0.07098765432098765,0.16363636363636364,15.0,1,-0.8740645926537401,0.1797999732303653
150128,LIMA,RIMAC,3.334970530451866,0.0,249,21.172664082973778,0.07269155206286837,0.026137904126410032,0.07367387033398821,19.0,1,0.5252506726834729,-1.1747250713642432
150129,LIMA,SAN BARTOLO,0.5892857142857143,0.0,4,1.013776280516947,0.0,0.25424242424242427,0.3392857142857143,13.0,1,-0.41820206275086225,0.6776729472958903
150130,LIMA,SAN BORJA,2.2720588235294117,0.0,39,6.381806529876559,0.27941176470588236,0.12883186220320725,0.2867647058823529,16.0,1,-0.08636141002375769,0.28661042529365477
150131,LIMA,SAN ISIDRO,0.3304093567251462,0.0,10,1.3175199796415071,0.0935672514619883,0.0388294338440966,0.09649122807017543,10.0,1,-0.9574153336287111,-0.061531735776361104
150132,LIMA,SAN JUAN DE LURIGANCHO,13.085519922254615,0.0,1009,84.80563998704385,0.13216715257531583,0.04820573894283355,0.13313896987366375,16.0,2,5.568020066536007,-4.33672666758642
150133,LIMA,SAN JUAN DE MIRAFLORES,4.152882205513785,0.0,426,30.766414851870856,0.06265664160401002,0.024835794884513623,0.06349206349206349,18.0,0,1.3132362169872487,-1.8296488201430334
